obs,low        (fiat),high      (fiat),open      (fiat),close     (fiat),vol      (fiat),trade_vol  (fiat),low (crypto),high (crypto),open (crypto),close (crypto),vol (crypto),trade_vol (crypto),
41,69.194,72.56,69.832,71.5,4913.678953,351328.0451,0.00765508,0.008,0.0079231,0.00790389,1211.248942,9.573578398,
42,69.355,72.989,71.51,69.999,5334.475262,373407.9339,0.00792184,0.00817356,0.00792184,0.00804357,1988.027657,15.99083962,
43,68.789,70.73,69.997,70.17,1768.837792,124119.3479,0.00794007,0.00810676,0.0080449,0.00799023,762.1233152,6.089540577,
44,69.26,70.642,70.054,69.53,1732.326169,120448.6385,0.00793802,0.008041,0.00795347,0.00795877,140.413709,1.117520415,
45,68.165,69.914,69.532,68.551,1573.731397,107880.861,0.007929,0.00809401,0.00795878,0.00794247,547.4107407,4.347793386,
46,65.641,69.59,68.817,67.951,1607.83967,109254.3134,0.007917,0.00804192,0.00793697,0.00804192,512.8798368,4.124538617,
47,67.109,68.375,67.95,68.056,1386.399689,94352.8172,0.007915,0.00804271,0.00804191,0.00801659,201.4670784,1.615078966,
48,67.248,68.388,68.172,67.77,1169.160721,79234.02207,0.00789401,0.0080243,0.00801659,0.0079664,799.4682971,6.368884242,
49,63,68.074,67.8,64.215,2441.86705,156804.4926,0.00782505,0.00801866,0.0079664,0.00785742,406.808788,3.196467507,
50,62.903,65.734,63.995,65.293,2006.262746,130994.9135,0.00782503,0.00816294,0.0078541,0.00804572,1987.770394,15.99304402,
51,63.27,65.664,65.294,63.506,2141.606353,136004.853,0.00782502,0.0080738,0.00804572,0.00786026,602.7314823,4.737626161,
52,58.887,64.449,63.507,60.309,4734.029616,285504.5921,0.00780712,0.00802289,0.00785037,0.00792134,815.1355225,6.456965619,
53,53.124,61.076,60.138,55.467,9577.579683,531239.6122,0.00754665,0.00800686,0.00792134,0.00757554,1698.192856,12.86472791,
54,53.698,57.407,55.36,54.7,4901.970337,268137.7774,0.00738431,0.00776926,0.0076195,0.00746724,743.5171425,5.552020947,
55,50.589,55.725,54.919,50.758,6530.202207,331460.0036,0.00731304,0.00754271,0.00744328,0.00735998,1071.444008,7.885806469,
